CONTAINMENT_ZONE_NAME,LATITUDE,LONGITUDE,RADIUS,PINCODE,DISTRICT,STATE,COUNTRY
"Shivajinagar ,Krantivir,Chafekar nagar,Ganeshkhind road",18.5351848,73.8384651,500, 411001, Pune District, Maharashtra, India
"Sangamwadi TP Schme F no.7 ,9 Mula road,Aadarshnagar",18.5498704,73.85549189999999,500, 411001, Pune District, Maharashtra, India
"Shivajinagar,Wakdewadi,Sambhajinagar,PMC colony",18.5424091,73.8521981,500, 411001, Pune District, Maharashtra, India
"Shivaji nagar, Railway Station South Side",18.5322311,73.85177449999999,500, 411001, Pune District, Maharashtra, India
"Shivaji nagar, kamgar putala ",18.5274083,73.85771129999999,500, 411011, Pune District, Maharashtra, India
"Shivaji nagar, Mahatma gandhi slum area",18.5314419,73.8445617,500, 411001, Pune District, Maharashtra, India
"Shivaji nagar, Patil estate ",18.5329125,73.8547709,500, 411001, Pune District, Maharashtra, India
"Yerwada, White House Society",18.5486122,73.8895897,500, 411006, Pune District, Maharashtra, India
Wadgaon Sheri,18.5512771,73.92098940000001,500, 411001, Pune District, Maharashtra, India
"Yerwada, Gandhi Nagar 1",18.54944,73.89155099999999,500, 411006, Pune District, Maharashtra, India
"Yerwada, Gandhi Nagar 2",18.550028,73.88978519999999,500, 411001, Pune District, Maharashtra, India
"Parvati, Janta vasahat",18.4901977,73.8397009,500, 411001, Pune District, Maharashtra, India
"Dhayari, Raikar Mala Parisar",18.4505768,73.8186052,500, 411041, Pune District, Maharashtra, India
"""Hadapsar, Chintamani",18.4858018,73.9341451,500, 411001, Pune District, Maharashtra, India
"Hadapsar, Adarsh Colony",18.48202,73.92789929999999,500, 411001, Pune District, Maharashtra, India
"Hadapsar ,Gondhale nagar,Natraj Colony",18.4937072,73.9478961,500, 411001, Pune District, Maharashtra, India
"Fursungi, Bherainagar",18.4726725,73.9784573,500, 412308, Pune District, Maharashtra, India
"Hadapsar,Bankar Colony Shantinagar",18.4993709,73.9444188,500, 411001, Pune District, Maharashtra, India
"Hadapsar,Sadesatra Nali, Ganesh Nagar",18.5122829,73.9488405,500, 411028, Pune District, Maharashtra, India
"Kondhwa Kh,Ashraf Nagar",18.4614917,73.8822808,500, 411018, Pune District, Maharashtra, India
"Erandwane,Khilarewadi Flat no.15",18.5102285,73.8382306,500, 411001, Pune District, Maharashtra, India
"Kothrud, Postman Colony, Shastri nagar,PMC Colony,Sagar Colony",18.5032222,73.80128549999999,500, 411038, Pune District, Maharashtra, India
Erandwane Sr no.44 Pai Kelewadi,18.5076336,73.82499729999999,500, 411001, Pune District, Maharashtra, India
"Erandwane Sr no.44 Pai Kelewadi,Vitthal Temple area",18.5076336,73.82499729999999,500, 411001, Pune District, Maharashtra, India
"Erandwane Sr no.44 Pai Kelewadi,Vishvashanti Chouk",18.5076336,73.82499729999999,500, 411001, Pune District, Maharashtra, India
"Erandwane Sr no.44 Pai Kelewadi,Vasant Nagar area",18.5076336,73.82499729999999,500, 411001, Pune District, Maharashtra, India
"Karve nagar,Hingne Bk sr no.53 Pai,Wadar wasti",18.4912336,73.8125611,500, 411001, Pune District, Maharashtra, India
"Kothrud Postman Colony ,Shastrinagar,PMC Colony ,Sagar Colony",18.5032222,73.80128549999999,500, 411038, Pune District, Maharashtra, India
"Bhimnagar, Pimpri",18.6665469,73.8551385,500, 411026, Pune District, Maharashtra, India
"Nanekar Chawl, Pimpri",18.6297811,73.7997094,500, 411017, Pune District, Maharashtra, India
"Indiranagar, Chinchwad",18.6419461,73.7995102,500, 411019, Pune District, Maharashtra, India
"Anand Nagar, Ch. Station",27.099451,83.269904,500, 273155, Mahrajganj, Uttar Pradesh, India
Bhatnagar,41.7722246,-88.03932329999999,500, 60517, DuPage County, Illinois, United States of America
"Sadguru Colony, Wakad",18.6091494,73.779777,500, 431027, Pune District, Maharashtra, India
"Mauli Chowk, Kalatenagar, Wakad",18.5979477,73.7637043,500, 411033, Pune District, Maharashtra, India
"Tanishq Orchid, Charholi",18.6634895,73.8957751,500, 412105, Pune District, Maharashtra, India
"Dattanagar, Akurdi",18.6376072,73.7671381,500, 411033, Pune District, Maharashtra, India
Phulenagar,18.560961,73.874985,500, 411001, Pune District, Maharashtra, India
"Khandoba Mal, Bhosari",18.6182913,73.85109539999999,500, 411039, Pune District, Maharashtra, India
"Patil Nagar, Chikhali",18.6842091,73.8143365,500, 412114, Pune District, Maharashtra, India
"Sukhwani Imperial, Morwadi",18.6334545,73.80512279999999,500, 411017, Pune District, Maharashtra, India
"Katenagar, Charholi",18.6659411,73.88655179999999,500, 412105, Pune District, Maharashtra, India
"Budhanagar, Pimpri",18.6297811,73.7997094,500, 411017, Pune District, Maharashtra, India
"Navjeevan CHS, Neharunagar",18.4265686,73.2440996,500, Maharashtra,Roha, Raigad, India
"Anand Park, Nigadi Pradhikaran",18.63153,73.7781554,500, 411033, Pune District, Maharashtra, India
"Kamalakar Chowk, Wakad",18.5987164,73.7636989,500, 431027, Pune District, Maharashtra, India
Sai Shraddha Apt. Kharalwadi,18.6280997,73.8110279,500, 300054, Pune District, Maharashtra, India
"Balaji Nagar, Bhosari",18.6338366,73.83124649999999,500, 411026, Pune District, Maharashtra, India
"Vijaynagar, Kalewadi",18.6202008,73.7908073,500, 411034, Pune District, Maharashtra, India
"Renuka Apt., Dalvinagar",18.643213,73.7818319,500, 411003, Pune District, Maharashtra, India
"Sonkar Complex, Pimpri",18.661594,73.77767,500, 411044, Pune District, Maharashtra, India
"Saibaba Nagar, Chinchawad",18.4698283,73.87866009999999,500, 411018, Pune District, Maharashtra, India
Wadmukhwadi,18.6447593,73.88601,500, 412105, Pune District, Maharashtra, India
"Shivatirth Nagar, Rahatani",18.6101971,73.7794093,500, 411033, Pune District, Maharashtra, India
"Gulabnagar, Dapodi",18.5752944,73.83414549999999,500, 411012, Pune District, Maharashtra, India
"Shindenagar, Old Sangvi",18.5719139,73.8231593,500, 411 007, Pune District, Maharashtra, India
"Sangamnagar, Old Sangavi",18.5726924,73.8279381,500, 411012, Pune District, Maharashtra, India
"Geeta Society, Bhosari",18.6195327,73.8529332,500, 411039, Pune District, Maharashtra, India
"Netaji Nagar, Pimple Gurav",18.5878316,73.81580699999999,500, 411027, Pune District, Maharashtra, India
"Ramkrushna Chowk, Pimple Gurav",18.5841392,73.8224558,500, 411012, Pune District, Maharashtra, India
Morewasti,18.6760384,73.7992634,500, 412114, Pune District, Maharashtra, India
"Mankar Empire, Wakad",18.5920652,73.7735247,500, 431027, Pune District, Maharashtra, India
"Joytibanagar, Kalewadi",18.612808,73.7865791,500, 411017, Pune District, Maharashtra, India
"Bella Vista, Wakad",18.5961088,73.7642888,500, 431027, Pune District, Maharashtra, India
"Nayanprabha School, Wakad",18.6010921,73.7641245,500, 411033, Pune District, Maharashtra, India
"Khandobamal-2, Bhosari",18.6182913,73.85109539999999,500, 411039, Pune District, Maharashtra, India
"Sai Sneha Park, Old Sangvi",18.5746167,73.8270421,500, 411012, Pune District, Maharashtra, India
"Belthikanagar, Thergaon",18.6069328,73.77095229999999,500, 411033, Pune District, Maharashtra, India
"Yas Residancy, Sangamnagar, Old Sangvi",18.5699666,73.8268719,500, 411 007, Pune District, Maharashtra, India
"Gurudatta Colony, Walhekarwadi",18.6351901,73.7598553,500, 411003, Pune District, Maharashtra, India
"BU Bhandari, Dighi",18.6238994,73.8692926,500, 411039, Pune District, Maharashtra, India
"Sonkar Chambers, Pimpri",18.6248247,73.8026333,500, 411018, Pune District, Maharashtra, India
"Shaunagar, Chinchwad",18.6566489,73.80808689999999,500, 411019, Pune District, Maharashtra, India
"Kalbhornagar, Akurdi",18.6493337,73.7904396,500, 411019, Pune District, Maharashtra, India
"Regent Park, Chikhali",18.646714,73.8908246,500, 412105, Pune District, Maharashtra, India
"Dhorenagar, Old Sangvi",18.5746712,73.8176451,500, 411027, Pune District, Maharashtra, India
"Keshavnagar, Chinchwad",18.6274205,73.7814033,500, 411034, Pune District, Maharashtra, India
"Gokul CHS, Morewasti",18.6760384,73.7992634,500, 412114, Pune District, Maharashtra, India
"Apulki CHS, Shahunagar",18.6566489,73.80808689999999,500, 411019, Pune District, Maharashtra, India
"Vaibhavnagar, Pimpri",18.6143664,73.7981605,500, 411017, Pune District, Maharashtra, India
"Kauntaya CHS, Rupeenagar",18.6747413,73.7829081,500, 411044, Pune District, Maharashtra, India
"Samarth Ashok CHS, Rupeenagar",18.6747413,73.7829081,500, 411044, Pune District, Maharashtra, India
"Kauntey CHS, Rupeenagar",18.6747413,73.7829081,500, 411044, Pune District, Maharashtra, India
"Nadhenagar, Kalewadi",18.6147655,73.7924618,500, 411017, Pune District, Maharashtra, India
"SMS Colony, Dapodi",18.5756295,73.8326465,500, 411012, Pune District, Maharashtra, India
"Shewale Apt, Dapodi",18.5852963,73.8333804,500, 411012, Pune District, Maharashtra, India
"Mane Chawl, Dapodi",18.5852963,73.8333804,500, 411012, Pune District, Maharashtra, India
"New Gulab nagar, Dapodi",18.5752944,73.83414549999999,500, 411012, Pune District, Maharashtra, India
"Laltopinagar, Morewadi",18.635112,73.8047781,500, 411019, Pune District, Maharashtra, India
"Adharsha Society, Kalbhornagar",18.6493337,73.7904396,500, 411019, Pune District, Maharashtra, India
"Yashodha CHS, Ajanthanagar",18.6630818,73.791175,500, 411019, Pune District, Maharashtra, India
"Royal Imperio, Pimple Saudagar",18.6000793,73.7910141,500, 431027, Pune District, Maharashtra, India
"Mahatma Phule Society, Nigdi",18.6491735,73.7706532,500, Maharashtra, Haveli, Pune District, India
"Near Panchadurga CHS, Rupeenagar",18.6747413,73.7829081,500, 411044, Pune District, Maharashtra, India
"Gawlinagar, Bhosari",18.643326,73.82451,500, 411026, Pune District, Maharashtra, India
"Chatrapati Chowk, Bhopkhel",18.5953919,73.76879199999999,500, 431027, Pune District, Maharashtra, India
"Saikrupa CHS, Nigdi",18.6491735,73.7706532,500, Maharashtra, Haveli, Pune District, India
Triveninagar,26.8852716,80.9237942,500, 226020, Lucknow, Uttar Pradesh, India
"Om Sai CHS, Chikhali",18.6849384,73.8369441,500, 412114, Pune District, Maharashtra, India
"Akashganga Society, Pimpri",18.6003574,73.7854383,500, 431027, Pune District, Maharashtra, India
"Sant Tukaramnagar, Bhosari",18.6218678,73.8570075,500, 411039, Pune District, Maharashtra, India
"Siddharth Building, Ajanthanagar",18.6630818,73.791175,500, 411019, Pune District, Maharashtra, India
"Sonigara Opel, Chinchwad Station",18.6426445,73.7901017,500, 411019, Pune District, Maharashtra, India
"Siddhivinayak Colony, Bapdevnagar, Kiwale",18.661162,73.728662,500, 412101, Pune District, Maharashtra, India
"Shakhari Bank, Nadhenagar, Kalewadi",18.6189344,73.7944093,500, 411017, Pune District, Maharashtra, India
"Divya Heights, Saudagar",18.6010823,73.7939784,500, 431027, Pune District, Maharashtra, India
"Shikshak Society, Pimple Nilakh",18.5738696,73.7919149,500, 411045, Pune District, Maharashtra, India
"Sec.27A, Pradhikaran",18.6518446,73.7733824,500, 411044, Pune District, Maharashtra, India
"Hallmark Avenue, Ravet",18.6488417,73.7521986,500, 412101, Pune District, Maharashtra, India
"Mamata Nagar Lane 2 , Sangvi",18.5717732,73.8297761,500, 411012, Pune District, Maharashtra, India
"Shastri Nagar, Pimpri",18.6092466,73.8095574,500, 411017, Pune District, Maharashtra, India
"Vaibhavnagar Road-2, Pimpri",18.6159303,73.797516,500, 411017, Pune District, Maharashtra, India
"Krystal City, Chikhali",18.6837009,73.833652,500, 412114, Pune District, Maharashtra, India
"Ushkal CHS, Sangvi",18.1705003,73.6624507,500, Maharashtra,Bhor, Pune District, India
"PC Sahakari Bank, Nadhenagar",23.2295237,72.64854679999999,500, 382016, Gandhinagar District, Gujarat, India
Dnyanesh Apt. Tanajinagar,18.6257716,73.7845569,500, 411034, Pune District, Maharashtra, India
"Bhimashankar Colony, Dighi",18.6148698,73.8729867,500, 411039, Pune District, Maharashtra, India
"Adharshnagar, Dighi",18.6233089,73.8672672,500, 411039, Pune District, Maharashtra, India
"Jyotibanagar,Tapkirchowk",18.613402,73.7883171,500, 411017, Pune District, Maharashtra, India
"Ganeshnagar, Thergaon",18.6091005,73.7628627,500, 411033, Pune District, Maharashtra, India
"Siddhi Anand Park, Morewasti",18.669616,73.7950738,500, 411019, Pune District, Maharashtra, India
"Dagdupatil Nagar, Thergaon",18.6128185,73.77646779999999,500, 411033, Pune District, Maharashtra, India
"Sanskriti Society, Wakad",18.5951503,73.777266,500, 431027, Pune District, Maharashtra, India
"Ajinkya Colony, Wakad",18.5917527,73.7579725,500, 431027, Pune District, Maharashtra, India
"Prakash Pagriya Path, Kasarwadi",18.6069777,73.82350799999999,500, 300054, Pune District, Maharashtra, India
"Morya society, Chafekar Chowk",18.6275599,73.7820296,500, 411033, Pune District, Maharashtra, India
"Shanti CHS, Chikhali",18.6824723,73.8196095,500, 412114, Pune District, Maharashtra, India
Aishwaryam Courtyard Chikhali,18.675879,73.80604869999999,500, 412114, Pune District, Maharashtra, India
"Namo Inspiria, Chikhli",18.6857142,73.81250279999999,500, 412114, Pune District, Maharashtra, India
"Royal Heritage, Pimpri",18.625282,73.80382,500, 411017, Pune District, Maharashtra, India
"Sai Orchid, Pimpri",18.5968251,73.8034346,500, 411027, Pune District, Maharashtra, India
"Shastri Nagar, Pimpri Colony",18.6092466,73.8095574,500, 411017, Pune District, Maharashtra, India
"Waghere Park, Pimpri Colony",18.6148205,73.801791,500, 411017, Pune District, Maharashtra, India
"Trimurti Building, Taleranagar",18.625378,73.784829,500, 411034, Pune District, Maharashtra, India
"Shivsai Nagar, Dighi",18.621916,73.8722097,500, 411039, Pune District, Maharashtra, India
"Bapuji Apt, Kate Wasti, P.Saudagar",18.6241223,73.73467699999999,500, 411035, Pune District, Maharashtra, India
"R.G.Patel Marg, Pradhikaran",18.6575156,73.7706664,500, 411044, Pune District, Maharashtra, India
Akurdi Gavthan,18.6528236,73.77944769999999,500, 411044, Pune District, Maharashtra, India
"Bijali Nagar, Ganga Nagar",18.6476483,73.7797289,500, 411003, Pune District, Maharashtra, India
"Near Sanjeevani Herbal India, Mohannagar",28.672818,77.3862836,500, 201001,Ghaziabad, Uttar Pradesh, India
"Sai Society, Dighi Road",18.620152,73.86240769999999,500, 411039, Pune District, Maharashtra, India
"Ganga Skies, Sant Tukaram Nagar",18.616882,73.8189938,500, 300054, Pune District, Maharashtra, India
"Jaymala Nagar, Old Sangvi",18.5703742,73.8240783,500, 411007, Pune District, Maharashtra, India
"Shreepad Apt, New Sangvi",18.5793178,73.8142604,500, 411027, Pune District, Maharashtra, India
"Sonigira Vihar, Kalewadi",18.6182744,73.78942649999999,500, 411034, Pune District, Maharashtra, India
LIG Colony,22.964932,76.0439051,500, 455001, Dewas, Madhya Pradesh, India
Shilpa Housing Society Nigadi,18.5199332,73.8169151,500, 411038, Pune District, Maharashtra, India
"Utkarsha Mitra Mandal, Nigadi",18.6491735,73.7706532,500, Maharashtra, Haveli, Pune District, India
"PCMC Building No.1, Nigadi",18.6483139,73.7675447,500, 411003, Pune District, Maharashtra, India
"Plot No.399, Sec.22, Nigadi",18.6491735,73.7706532,500, Maharashtra, Haveli, Pune District, India
"Bijalinagar, Shivnagari",18.6393569,73.7697264,500, 411003, Pune District, Maharashtra, India
"Sudarshan Nagar, Pimple Gurav",18.5977841,73.8143365,500, 300054, Pune District, Maharashtra, India
"Vaidu Vasti, Pimple Gurav",18.597139,73.8139965,500, 411003, Pune District, Maharashtra, India
"Rondale Chawl, Dapodi",18.5852963,73.8333804,500, 411012, Pune District, Maharashtra, India
Nayanpar Nashik Phata Kasarwadi,18.5978587,73.8011606,500, 431027, Pune District, Maharashtra, India
"Tanaji Nagar, Chinchawad",18.6257716,73.7845569,500, 411034, Pune District, Maharashtra, India
"Shani Mandir, Sant Tukaram Nagar",18.6211187,73.8190259,500, 300054, Pune District, Maharashtra, India
"422/213, Sant Tuakram Nagar",18.6208633,73.8190178,500, 300054, Pune District, Maharashtra, India
"Verve Apartment, Bhumkar Wasti",18.604269,73.7489401,500, 411035, Pune District, Maharashtra, India
"Panchashil Nagar, Pimple Nilakh",18.5707113,73.7930133,500, 411045, Pune District, Maharashtra, India
Aditya Vivaj Ravet,18.6506274,73.74333349999999,500, 412101, Pune District, Maharashtra, India
"Goyal Garima, Keshavnagar",18.6209663,73.7857032,500, 411034, Pune District, Maharashtra, India
"Pachpeer Chowk, Kalewadi",18.6170437,73.7901145,500, 411017, Pune District, Maharashtra, India
"Anandnagar, Old Sangvi",18.5745041,73.8188864,500, 411007, Pune District, Maharashtra, India
"Anthony Garden, Sant Tukaram Nagar",18.6194304,73.8199427,500, 300054, Pune District, Maharashtra, India
"Pratiksha Apt, New Sangvi",18.5793178,73.8142604,500, 411027, Pune District, Maharashtra, India
Lonibhapkar,18.2340468,74.3763415,500, 412304, Pune District, Maharashtra, India
"Dudhsangh Vasahat, Baramati",18.1455344,74.567268,500, 413102, Pune District, Maharashtra, India
Shidheshwar-Nimbodi,19.0540785,74.7863698,500, 414001, Ahmednagar, Maharashtra, India
Korhale BK,18.1259634,74.3939339,500, Maharashtra, Baramati, Pune District, India
"Savtamali nagar ,Indapur",18.1091277,75.0268352,500, 413106, Pune District, Maharashtra, India
Malwadi no.1 area,18.5053012,73.93892129999999,500, 411001, Pune District, Maharashtra, India
"Prabhag no.4 Mandai area,Indapur",18.5133793,73.83308439999999,500, 411001, Pune District, Maharashtra, India
"Ramves to Tarechi school ,Indapur",18.1186943,75.0234074,500, 413106, Pune District, Maharashtra, India
Manjari BK-Mahadeonagar,18.5072112,73.9587203,500, 412308, Pune District, Maharashtra, India
"Wagholi Owhalwadi road, Ganesh nagar ",18.5770563,73.984017,500, 412207, Pune District, Maharashtra, India
Narhe Gokul nagar,18.459341,73.815109,500, 411041, Pune District, Maharashtra, India
"Wagholi Ganesh Park Road, Kawade Wasti",18.5761765,73.958227,500, 412207, Pune District, Maharashtra, India
Bakore Prestincity phase-1 A,53.763201,-2.70309,500, PR1 2RN, North West England, England, United Kingdom
"Manjari BK-Shivjany Society , Bhandalkar nagar",18.5029897,73.9712483,500, 412307, Pune District, Maharashtra, India
wagholi- Zade residency ,18.5813661,73.97252139999999,500, 412207, Pune District, Maharashtra, India
Narhe -Navdeep society to Devashree Society,18.4464732,73.826375,500, 411041, Pune District, Maharashtra, India
Wagholi -Ganesh nagar,18.5769787,73.968617,500, 410014, Pune District, Maharashtra, India
kadamwakwasti -Swami vivekananda,18.4887133,74.0178938,500, 412200, Pune District, Maharashtra, India
Narhe kanjarwasti krishninagar,18.4464732,73.826375,500, 411041, Pune District, Maharashtra, India
Alandi Mathoba -Panmala,18.5246312,73.8071513,500, 411001, Pune District, Maharashtra, India
Manjari BK-Bhandalkar Nagar,18.4998045,73.97166229999999,500, 412307, Pune District, Maharashtra, India
Wagholi (Datta Mandir area) Kalubai Nagar,18.577226,73.9834,500, 412207, Pune District, Maharashtra, India
Pisoli-Gagan Residency,18.4436015,73.9068152,500, 411060, Pune District, Maharashtra, India
Manjari Kurd-Pawar Wasti,18.5234503,73.9853801,500, 412307, Pune District, Maharashtra, India
Koregaon Gavthan- Mahadeo Mandir,17.702751,74.1432296,500, 415500, Satara, Maharashtra, India
Manjari BK-Mhasoba Wasti,18.5293126,73.9601919,500, 410014, Pune District, Maharashtra, India
"Wagholi-Bayafa road, Canara Bank area",18.578649,73.979066,500, 412207, Pune District, Maharashtra, India
Waghli-Dhut Company area,18.5807719,73.9787063,500, 412207, Pune District, Maharashtra, India
Kadamwakwasti -Chandane Wasti,18.4887133,74.0178938,500, 412200, Pune District, Maharashtra, India
Manjari Bk-Gopalpati( Tilekar Colony),18.5091591,73.9668408,500, 412307, Pune District, Maharashtra, India
Waghli-Ubale Nagar,18.5664327,73.95775139999999,500, 411001, Pune District, Maharashtra, India
Manjari Bk-Godbole Wasti (Near Mhasoba Mandir),18.5221459,73.9587593,500, 412308, Pune District, Maharashtra, India
Holkarwadi-Zambare Wasti -Tupe floating,18.438516,73.94112559999999,500, 411060, Pune District, Maharashtra, India
Manjari Bk- Aanaji Wasti,18.5220966,73.97086139999999,500, 412307, Pune District, Maharashtra, India
Narhe -Siddhivinayak Angan society E wing ,18.4464732,73.826375,500, 411041, Pune District, Maharashtra, India
Kondave Dhavde-Khadakban NDA gate,18.4569122,73.76964819999999,500, 41158, Pune District, Maharashtra, India
Shindewadi-Jagtapwadi,18.5818638,74.1537666,500, Maharashtra,Haveli, Pune District, India
Lonikand-Sadur Park (Tulapur Fata),18.627213,74.033671,500, 41216, Pune District, Maharashtra, India
Wagholi-Roadwood park (Aavhalwadi road),18.5785153,73.9867678,500, 412207, Pune District, Maharashtra, India
Rahatwade,18.3418988,73.7937486,500, Maharashtra, Haveli, Pune District, India
Uruli Kanchan-B J Shirke school area,18.4924854,74.1363829,500, 412202, Pune District, Maharashtra, India
Wadachiwadi,18.1012956,75.6339017,500, Maharashtra,Madha, Solapur, India
 Pisoli -ARV new town building bricks college area,18.4395779,73.9070091,500, 411060, Pune District, Maharashtra, India
Uruli Kanchan- Aasram road,18.4902237,74.13093099999999,500, 412202, Pune District, Maharashtra, India
Manjari Bk- Manjari farm,18.4958752,73.9763464,500, 412307, Pune District, Maharashtra, India
"Nanded -Ashish Plaza ,Jijai Nagar",19.1382514,77.3209555,500, 431600, Nanded, Maharashtra, India
Narhe-Saipuram Society,18.451331,73.82360659999999,500, 411041, Pune District, Maharashtra, India
